Name;Latitude;Longitude
Singapore University of Technology and Design (SUTD);1.3198;103.9644
Singapore University of Social Sciences (SUSS);1.3292738;103.7762131
Singapore Institute of Technology (SIT);1.3966;103.9102
Singapore Management University (SMU);1.296168;103.8500437
Nanyang Technological University (NTU);1.3484104;103.6829332
National University of Singapore (NUS);1.2962;103.7769 
ZHONGHUA SECONDARY SCHOOL;1.34851635;103.869346048848
ZHONGHUA PRIMARY SCHOOL;25.2831834;110.2968119
ZHENGHUA SECONDARY SCHOOL;1.3895029;103.765195678289
ZHENGHUA PRIMARY SCHOOL;1.37942415;103.769676496815
ZHANGDE PRIMARY SCHOOL;1.2842497;103.826081924597
YUYING SECONDARY SCHOOL;1.35709395;103.89070897404
YUSOF ISHAK SECONDARY SCHOOL;1.40708265;103.896593460276
YUMIN PRIMARY SCHOOL;1.3512643;103.950873544019
YUHUA SECONDARY SCHOOL;1.34688825;103.722425077244
YUHUA PRIMARY SCHOOL;1.3428913;103.740960035662
YUAN CHING SECONDARY SCHOOL;1.3415819;103.720147222945
YU NENG PRIMARY SCHOOL;1.33432875;103.932829264872
YISHUN TOWN SECONDARY SCHOOL;1.43266455;103.837885121417
YISHUN SECONDARY SCHOOL;1.42793975;103.82902825
YISHUN PRIMARY SCHOOL;1.4335987;103.8338868868
YISHUN INNOVA JUNIOR COLLEGE;1.42449365;103.830515278545
YIO CHU KANG SECONDARY SCHOOL;1.3781326;103.841765
YIO CHU KANG PRIMARY SCHOOL;1.37791475;103.885461268929
YEW TEE PRIMARY SCHOOL;1.39696185;103.751092991212
YANGZHENG PRIMARY SCHOOL;31.6531434;117.463548101623
XISHAN PRIMARY SCHOOL;1.43343;103.8377865545
XINMIN SECONDARY SCHOOL;1.3725582;103.882928182226
XINMIN PRIMARY SCHOOL;22.10000225;112.637694989614
XINGNAN PRIMARY SCHOOL;24.980021;121.2163845
XINGHUA PRIMARY SCHOOL;1.3580028;103.890515013502
WOODLANDS SECONDARY SCHOOL;51.91635335;-0.449091076378745
WOODLANDS RING SECONDARY SCHOOL;1.436023;103.800435349457
WOODLANDS RING PRIMARY SCHOOL;1.43466535;103.797840506395
WOODLANDS PRIMARY SCHOOL;-15.44412745;28.3505378595395
WOODGROVE SECONDARY SCHOOL;1.42833185;103.796549247454
WOODGROVE PRIMARY SCHOOL;1.4331624;103.79032679117
WHITLEY SECONDARY SCHOOL;1.35567945;103.842557581337
WHITE SANDS PRIMARY SCHOOL;1.36547295;103.961254558825
WESTWOOD SECONDARY SCHOOL;1.35357275;103.701802508636
WESTWOOD PRIMARY SCHOOL;33.5067755;-112.107360091734
WEST VIEW PRIMARY SCHOOL;54.7052072;-1.22559411329343
WEST SPRING SECONDARY SCHOOL;1.38828505;103.759873571745
WEST SPRING PRIMARY SCHOOL;1.38951255;103.766295117367
WEST GROVE PRIMARY SCHOOL;51.6366655;-0.125768606448194
WELLINGTON PRIMARY SCHOOL;52.12926345;-2.73628882141575
WATERWAY PRIMARY SCHOOL;1.3992088;103.918394140523
VICTORIA SCHOOL;-37.125388;146.303697
VICTORIA JUNIOR COLLEGE;1.3061913;103.919844446519
VALOUR PRIMARY SCHOOL;1.4072779;103.898857181059
UNITY SECONDARY SCHOOL;1.39972215;103.746029392178
UNITY PRIMARY SCHOOL;-1.2842624;36.8935006
TOWNSVILLE PRIMARY SCHOOL;1.3603771;103.853882188471
TEMASEK SECONDARY SCHOOL;1.3163473;103.94785330286
TEMASEK PRIMARY SCHOOL;1.3173917;103.945773034972
TEMASEK JUNIOR COLLEGE;1.31820425;103.934980269508
TELOK KURAU PRIMARY SCHOOL;1.33088455;103.911328486464
TECK WHYE PRIMARY SCHOOL;1.3838682;103.75364438639
TECK GHEE PRIMARY SCHOOL;1.36536405;103.850936965751
TAO NAN SCHOOL;1.30492865;103.91114509667
TANJONG KATONG SECONDARY SCHOOL;1.3083187;103.89733967436
TANJONG KATONG PRIMARY SCHOOL;1.30530945;103.900440916118
TANJONG KATONG GIRLS' SCHOOL;1.3080557;103.8952043
TAMPINES SECONDARY SCHOOL;1.3494462;103.944102292555
TAMPINES PRIMARY SCHOOL;1.3503174;103.943901860016
TAMPINES NORTH PRIMARY SCHOOL;1.3605469;103.949124318814
TAMPINES MERIDIAN JUNIOR COLLEGE;1.37620765;103.937903624387
SWISS COTTAGE SECONDARY SCHOOL;1.36456;103.75043307404
ST. STEPHEN'S SCHOOL;41.8818258;12.487040912369
ST. PATRICK'S SCHOOL;-40.9158693;175.009945814401
ST. MARGARET'S SCHOOL (SECONDARY);1.3201;103.8095
ST. MARGARET'S SCHOOL (PRIMARY);51.7910409;-0.509383
ST. JOSEPH'S INSTITUTION JUNIOR;1.31754345;103.846306815766
ST. JOSEPH'S INSTITUTION;1.3242;103.828326434112
ST. HILDA'S SECONDARY SCHOOL;1.350089;103.936995146152
ST. HILDA'S PRIMARY SCHOOL;1.3493751;103.936593633113
ST. GABRIEL'S SECONDARY SCHOOL;1.346723;103.875437275
ST. GABRIEL'S PRIMARY SCHOOL;54.55137465;-1.17506616921587
ST. ANTHONY'S PRIMARY SCHOOL;52.283893;-1.516863
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL;1.334946;103.942363612284
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL;1.3349316;103.940866198218
ST. ANDREW'S JUNIOR COLLEGE;1.33193185;103.863531302399
ST ANDREW'S SCHOOL (SECONDARY);12.1276222;-61.620342
ST ANDREW'S SCHOOL (JUNIOR);51.4748892;-2.5817948
SPRINGFIELD SECONDARY SCHOOL;1.34999395;103.929985735164
SPRINGDALE PRIMARY SCHOOL;-34.033644;18.6062218896886
SPECTRA SECONDARY SCHOOL;1.43640725;103.804283603032
SOUTH VIEW PRIMARY SCHOOL;52.6800598;-0.165597888987532
SINGAPORE SPORTS SCHOOL;1.4273697;103.787655212984
SINGAPORE CHINESE GIRLS' SCHOOL;1.32107125;103.827574191513
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL;1.3202;103.8297
SI LING PRIMARY SCHOOL;1.432724;103.785778512922
SHUQUN PRIMARY SCHOOL;1.34712705;103.72159024758
SERANGOON SECONDARY SCHOOL;1.3749592;103.90204576428
SERANGOON GARDEN SECONDARY SCHOOL;1.3696622;103.868983766216
SENGKANG GREEN PRIMARY SCHOOL;1.39288245;103.874803611514
SENG KANG SECONDARY SCHOOL;1.38646525;103.898681613622
SENG KANG PRIMARY SCHOOL;1.38939055;103.899395348414
SEMBAWANG SECONDARY SCHOOL;1.44565285;103.816662787979
SEMBAWANG PRIMARY SCHOOL;1.4452989;103.820890387172
SCHOOL OF THE ARTS, SINGAPORE;1.2990858;103.8490353
SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE;1.3131051;103.773725392038
RULANG PRIMARY SCHOOL;1.34660905;103.718736999372
ROSYTH SCHOOL;1.3728695;103.874509297525
RIVERVALE PRIMARY SCHOOL;-31.95913265;115.92017584783
RIVERSIDE SECONDARY SCHOOL;49.25673765;-122.789255451544
RIVERSIDE PRIMARY SCHOOL;56.125391;-3.93197182680881
RIVER VALLEY PRIMARY SCHOOL;1.29398185;103.836084720662
RIVER VALLEY HIGH SCHOOL;1.3433748;103.709305800823
REGENT SECONDARY SCHOOL;1.39351375;103.751012093809
RED SWASTIKA SCHOOL;1.3336412;103.934618609286
RAFFLES INSTITUTION;1.3467461;103.844456718824
RAFFLES GIRLS' SCHOOL (SECONDARY);1.34295555;103.843307099442
RAFFLES GIRLS' PRIMARY SCHOOL;1.33012955;103.806262306168
RADIN MAS PRIMARY SCHOOL;1.2750442;103.824023930969
QUEENSWAY SECONDARY SCHOOL;1.3025375;103.8015922
QUEENSTOWN SECONDARY SCHOOL;1.2932897;103.813256661444
QUEENSTOWN PRIMARY SCHOOL;1.2960256;103.807851719314
QIHUA PRIMARY SCHOOL;1.4420502;103.788333692865
QIFA PRIMARY SCHOOL;1.31280555;103.7569649547
PUNGGOL VIEW PRIMARY SCHOOL;1.4053286;103.905278219784
PUNGGOL SECONDARY SCHOOL;1.40239815;103.909146782783
PUNGGOL PRIMARY SCHOOL;1.37813115;103.894754465753
PUNGGOL GREEN PRIMARY SCHOOL;1.40198075;103.898548833592
PUNGGOL COVE PRIMARY SCHOOL;1.4117401;103.899219235305
PRINCESS ELIZABETH PRIMARY SCHOOL;1.3493822;103.740954200181
PRESBYTERIAN HIGH SCHOOL;1.3832006;103.842859934501
POI CHING SCHOOL;1.3577705;103.935486787369
PIONEER PRIMARY SCHOOL;0.3609;32.569
PEIYING PRIMARY SCHOOL;1.4177946;103.83016958774
PEIRCE SECONDARY SCHOOL;1.3664814;103.829533100123
PEICAI SECONDARY SCHOOL;1.35938135;103.870646885183
PEI TONG PRIMARY SCHOOL;1.316004;103.767845167744
PEI HWA SECONDARY SCHOOL;1.39075955;103.878183961701
PEI HWA PRESBYTERIAN PRIMARY SCHOOL;1.3380993;103.776218820502
PEI CHUN PUBLIC SCHOOL;1.3370857;103.855679949099
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY);1.34993195;103.885665833115
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY);1.34993195;103.885665833115
PASIR RIS SECONDARY SCHOOL;1.35470585;103.948527244953
PASIR RIS PRIMARY SCHOOL;1.37215285;103.963026300222
PASIR RIS CREST SECONDARY SCHOOL;1.37271;103.959760990901
PARK VIEW PRIMARY SCHOOL;51.25403125;-1.12636530927418
PALM VIEW PRIMARY SCHOOL;1.38410015;103.89115435184
OUTRAM SECONDARY SCHOOL;1.28627625;103.837126699417
ORCHID PARK SECONDARY SCHOOL;1.41577495;103.83810287862
OPERA ESTATE PRIMARY SCHOOL;1.3196642;103.923765984027
OASIS PRIMARY SCHOOL;-1.2717244;36.7505867
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE;1.3069962;103.769995639208
NORTHSHORE PRIMARY SCHOOL;1.4180938;103.904667006741
NORTHOAKS PRIMARY SCHOOL;1.4452356;103.806576841441
NORTHLIGHT SCHOOL;1.31946105;103.855611835469
NORTHLAND SECONDARY SCHOOL;1.43571045;103.840719473428
NORTHLAND PRIMARY SCHOOL;1.4212034;103.840583969844
NORTHBROOKS SECONDARY SCHOOL;1.4212669;103.8447792
NORTH VISTA SECONDARY SCHOOL;1.38173725;103.898739511264
NORTH VISTA PRIMARY SCHOOL;1.3828948;103.895977069554
NORTH VIEW PRIMARY SCHOOL;1.42773465;103.848656571765
NORTH SPRING PRIMARY SCHOOL;1.3876014;103.903789223705
NGEE ANN SECONDARY SCHOOL;1.3543069;103.956652807804
NGEE ANN PRIMARY SCHOOL;1.30554595;103.917952475953
NEW TOWN SECONDARY SCHOOL;1.30988355;103.773601366895
NEW TOWN PRIMARY SCHOOL;-42.8570983;147.300154464244
NAVAL BASE SECONDARY SCHOOL;1.419211;103.830994970322
NAVAL BASE PRIMARY SCHOOL;1.4165306;103.838461019514
NATIONAL JUNIOR COLLEGE;1.330727;103.804416671621
NANYANG PRIMARY SCHOOL;1.32083185;103.808216594969
NANYANG JUNIOR COLLEGE;1.35096925;103.866625463456
NANYANG GIRLS' HIGH SCHOOL;1.33050835;103.80232397036
NAN HUA PRIMARY SCHOOL;1.31983825;103.761675099947
NAN HUA HIGH SCHOOL;1.3083036;103.769096967785
NAN CHIAU PRIMARY SCHOOL;1.39202675;103.891042447753
NAN CHIAU HIGH SCHOOL;1.3894693;103.890083291406
MONTFORT SECONDARY SCHOOL;18.76517375;99.0199001323188
MONTFORT JUNIOR SCHOOL;1.37465235;103.889536765944
MILLENNIA INSTITUTE;1.3510437;103.741159735249
METHODIST GIRLS' SCHOOL (SECONDARY);1.34993195;103.885665833115
METHODIST GIRLS' SCHOOL (PRIMARY);1.33284035;103.783576532458
MERIDIAN SECONDARY SCHOOL;1.36757525;103.948942657105
MERIDIAN PRIMARY SCHOOL;51.48386255;-0.00173759478021963
MEE TOH SCHOOL;1.3948814;103.908544845972
MAYFLOWER SECONDARY SCHOOL;1.36906525;103.835770788453
MARYMOUNT CONVENT SCHOOL;1.3402824;103.839756271994
MARSILING SECONDARY SCHOOL;1.4373187;103.775930235673
MARSILING PRIMARY SCHOOL;1.4341551;103.773366677617
MARIS STELLA HIGH SCHOOL;1.34203865;103.878327550316
MANJUSRI SECONDARY SCHOOL;1.32756135;103.901713920553
MAHA BODHI SCHOOL;1.3284777;103.901534549589
LOYANG VIEW SECONDARY SCHOOL;1.3664422;103.95752962214
LIANHUA PRIMARY SCHOOL;29.38843995;106.496297751758
LAKESIDE PRIMARY SCHOOL;51.51239655;-3.16913327080203
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL;1.3508434;103.854669319739
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL;1.3492022;103.855038987692
KRANJI SECONDARY SCHOOL;1.39047655;103.741138988005
KRANJI PRIMARY SCHOOL;1.39393915;103.747155059731
KONG HWA SCHOOL;1.3111953;103.887872783369
KHENG CHENG SCHOOL;1.33703365;103.84744227895
KENT RIDGE SECONDARY SCHOOL;1.3016542;103.7657086
KEMING PRIMARY SCHOOL;1.3453422;103.756399026699
JUYING SECONDARY SCHOOL;1.33825905;103.687357614006
JURONGVILLE SECONDARY SCHOOL;1.3512965;103.728977393883
JURONG WEST SECONDARY SCHOOL;1.3354612;103.70240256902
JURONG WEST PRIMARY SCHOOL;1.33931415;103.699027341411
JURONG SECONDARY SCHOOL;1.330365;103.724282
JURONG PRIMARY SCHOOL;1.3487249;103.733055638056
JURONG PIONEER JUNIOR COLLEGE;1.38545185;103.753923628179
JUNYUAN SECONDARY SCHOOL;1.35317525;103.933544728072
JUNYUAN PRIMARY SCHOOL;1.347782;103.939397246597
JING SHAN PRIMARY SCHOOL;1.3722578;103.852015207149
JIEMIN PRIMARY SCHOOL;1.42810765;103.830170918981
INNOVA PRIMARY SCHOOL;1.4292761;103.790734345447
HWA CHONG INSTITUTION;1.32627975;103.803525764524
HUAMIN PRIMARY SCHOOL;1.42686205;103.844264335013
HUA YI SECONDARY SCHOOL;1.3520885;103.721625174956
HOUGANG SECONDARY SCHOOL;1.37776255;103.882458889879
HOUGANG PRIMARY SCHOOL;1.3783581;103.881072021769
HORIZON PRIMARY SCHOOL;1.39998505;103.913116198002
HONG WEN SCHOOL;1.32178305;103.857526913019
HOLY INNOCENTS' PRIMARY SCHOOL;1.37499965;103.857429479967
HOLY INNOCENTS' HIGH SCHOOL;1.3716598;103.895743571696
HILLGROVE SECONDARY SCHOOL;1.3533675;103.7529905461
HENRY PARK PRIMARY SCHOOL;1.3170569;103.784216326585
HAIG GIRLS' SCHOOL;1.31173415;103.902673011513
HAI SING CATHOLIC SCHOOL;1.3745734;103.955157937103
GUANGYANG SECONDARY SCHOOL;1.34467265;103.849951265247
GREENWOOD PRIMARY SCHOOL;-31.82879045;115.808703231776
GREENRIDGE SECONDARY SCHOOL;1.37498585;103.764052858024
GREENRIDGE PRIMARY SCHOOL;-28.895789;153.122691
GREENDALE SECONDARY SCHOOL;1.396986;103.9117179
GREENDALE PRIMARY SCHOOL;1.39620005;103.91272454371
GONGSHANG PRIMARY SCHOOL;1.3573263;103.949311140164
GEYLANG METHODIST SCHOOL (SECONDARY);1.318638;103.883071
GEYLANG METHODIST SCHOOL (PRIMARY);1.31760385;103.883251178634
GAN ENG SENG SCHOOL;1.2894326;103.823637855375
GAN ENG SENG PRIMARY SCHOOL;1.28587415;103.815131751379
FUHUA SECONDARY SCHOOL;1.34731075;103.727022786102
FUHUA PRIMARY SCHOOL;1.33648535;103.736454490791
FUCHUN PRIMARY SCHOOL;1.43072155;103.778230594479
FRONTIER PRIMARY SCHOOL;1.3369298;103.699637742028
FIRST TOA PAYOH PRIMARY SCHOOL;1.3404649;103.85586745343
FERNVALE PRIMARY SCHOOL;1.3899633;103.874210870536
FERN GREEN PRIMARY SCHOOL;1.3976461;103.880021415733
FENGSHAN PRIMARY SCHOOL;1.3300987;103.931882450527
FARRER PARK PRIMARY SCHOOL;1.3125247;103.851038162665
FAIRFIELD METHODIST SCHOOL (SECONDARY);1.3014522;103.784498739096
FAIRFIELD METHODIST SCHOOL (PRIMARY);39.7286649;-82.6382079
EVERGREEN SECONDARY SCHOOL;1.44173915;103.794023844187
EVERGREEN PRIMARY SCHOOL;1.44383025;103.79473608556
EUNOIA JUNIOR COLLEGE;1.36188675;103.840842524555
ENDEAVOUR PRIMARY SCHOOL;51.2290203;-1.46485025653624
ELIAS PARK PRIMARY SCHOOL;1.37491195;103.945175792384
EDGEFIELD SECONDARY SCHOOL;1.40019645;103.902309481059
EDGEFIELD PRIMARY SCHOOL;1.40035045;103.907527393054
EAST SPRING SECONDARY SCHOOL;1.35697385;103.961080604547
EAST SPRING PRIMARY SCHOOL;1.3528815;103.961917269287
DUNMAN SECONDARY SCHOOL;1.36116845;103.956013869646
DUNMAN HIGH SCHOOL;1.2987458;103.88218804962
DUNEARN SECONDARY SCHOOL;1.36358465;103.744546230373
DEYI SECONDARY SCHOOL;1.36674255;103.852111928452
DE LA SALLE SCHOOL;34.26546385;-118.492277888308
DAZHONG PRIMARY SCHOOL;1.3591826;103.747967856984
DAMAI SECONDARY SCHOOL;1.337598;103.926820239209
DAMAI PRIMARY SCHOOL;1.3354514;103.921391716523
CREST SECONDARY SCHOOL;1.343795;103.742809223251
CRESCENT GIRLS' SCHOOL;1.2934392;103.818023768366
CORPORATION PRIMARY SCHOOL;13.0981033;80.2860989883614
CONCORD PRIMARY SCHOOL;-45.90338175;170.453885335926
COMPASSVALE SECONDARY SCHOOL;1.396086;103.899711
COMPASSVALE PRIMARY SCHOOL;1.3945064;103.898035071575
COMMONWEALTH SECONDARY SCHOOL;1.31977715;103.745729488494
CLEMENTI TOWN SECONDARY SCHOOL;1.31566085;103.761906474871
CLEMENTI PRIMARY SCHOOL;1.31556955;103.763208833214
CHUNG CHENG HIGH SCHOOL (YISHUN);1.41910045;103.837287338724
CHUNG CHENG HIGH SCHOOL (MAIN);1.3053551;103.891770780866
CHUA CHU KANG SECONDARY SCHOOL;1.3830944;103.755231041797
CHUA CHU KANG PRIMARY SCHOOL;1.37793775;103.741984145872
CHRIST CHURCH SECONDARY SCHOOL;1.4266663;103.79314129894
CHONGZHENG PRIMARY SCHOOL;1.35054425;103.95092058935
CHONGFU SCHOOL;1.4387276;103.839290131375
CHIJ ST. THERESA'S CONVENT;1.27614885;103.822247692343
CHIJ ST. NICHOLAS GIRLS' SCHOOL;1.37344905;103.834077679759
CHIJ ST. JOSEPH'S CONVENT;1.39185175;103.902486638684
CHIJ SECONDARY (TOA PAYOH);1.3326721;103.842846569568
CHIJ PRIMARY (TOA PAYOH);1.3331269;103.842403002508
CHIJ OUR LADY QUEEN OF PEACE;1.3664051;103.768196996015
CHIJ OUR LADY OF THE NATIVITY;1.37311065;103.897689858145
CHIJ OUR LADY OF GOOD COUNSEL;1.3577786;103.86393027516
CHIJ KATONG CONVENT;1.3058723;103.9105929
CHIJ (KELLOCK);1.274664;103.828055081751
CHIJ (KATONG) PRIMARY;1.30643785;103.910832010806
CHANGKAT PRIMARY SCHOOL;1.3404098;103.951985
CHANGKAT CHANGI SECONDARY SCHOOL;1.3404936;103.952971829757
CEDAR PRIMARY SCHOOL;-33.94760425;18.5493619739993
CEDAR GIRLS' SECONDARY SCHOOL;1.33422015;103.874231225982
CATHOLIC JUNIOR COLLEGE;1.3252735;103.835362798308
CATHOLIC HIGH SCHOOL;30.4409;-91.1555028838152
CASUARINA PRIMARY SCHOOL;1.3728079;103.957227857039
CANTONMENT PRIMARY SCHOOL;1.2758142;103.839888386986
CANOSSA CATHOLIC PRIMARY SCHOOL;1.3146;103.8859
CANBERRA SECONDARY SCHOOL;1.45372065;103.814179879175
CANBERRA PRIMARY SCHOOL;1.45085035;103.815593716921
BUKIT VIEW SECONDARY SCHOOL;1.34569905;103.752192027608
BUKIT VIEW PRIMARY SCHOOL;1.34570095;103.753518499778
BUKIT TIMAH PRIMARY SCHOOL;1.33751905;103.766849370986
BUKIT PANJANG PRIMARY SCHOOL;1.37341685;103.769429160714
BUKIT PANJANG GOVT. HIGH SCHOOL;1.3554;103.7451
BUKIT MERAH SECONDARY SCHOOL;1.28589275;103.812992506677
BUKIT BATOK SECONDARY SCHOOL;1.3484109;103.740715388372
BROADRICK SECONDARY SCHOOL;1.30726495;103.886886639508
BOWEN SECONDARY SCHOOL;1.37088385;103.877601792999
BOON LAY SECONDARY SCHOOL;1.3427581;103.701673760327
BOON LAY GARDEN PRIMARY SCHOOL;1.3428882;103.712933143632
BLANGAH RISE PRIMARY SCHOOL;1.27640575;103.808809973143
BENDEMEER SECONDARY SCHOOL;1.3246123;103.8606641
BENDEMEER PRIMARY SCHOOL;1.32229385;103.86508845
BEDOK VIEW SECONDARY SCHOOL;1.3246274;103.9438629
BEDOK SOUTH SECONDARY SCHOOL;1.3255597;103.951028310102
BEDOK GREEN SECONDARY SCHOOL;1.334061;103.935858284652
BEDOK GREEN PRIMARY SCHOOL;1.3240565;103.937830565919
BEATTY SECONDARY SCHOOL;1.34154;103.851956
BEACON PRIMARY SCHOOL;-30.4511531;117.868719058801
BARTLEY SECONDARY SCHOOL;1.3406552;103.882327136868
ASSUMPTION PATHWAY SCHOOL;1.37022425;103.766428899176
ASSUMPTION ENGLISH SCHOOL;1.3690319;103.766544185464
ANGSANA PRIMARY SCHOOL;1.36358045;103.938910213149
ANGLO-CHINESE SCHOOL (PRIMARY);1.31875235;103.835076922932
ANGLO-CHINESE SCHOOL (JUNIOR);1.30928255;103.841302500824
ANGLO-CHINESE SCHOOL (INDEPENDENT);1.30322315;103.780677772229
ANGLO-CHINESE SCHOOL (BARKER ROAD);1.3197094;103.835661442133
ANGLO-CHINESE JUNIOR COLLEGE;1.3026072;103.785624327206
ANGLICAN HIGH SCHOOL;1.33021825;103.941759394989
ANG MO KIO SECONDARY SCHOOL;1.3676706;103.842545003431
ANG MO KIO PRIMARY SCHOOL;1.3691002;103.83936023523
ANDERSON SERANGOON JUNIOR COLLEGE;1.3791515;103.845797411482
ANDERSON SECONDARY SCHOOL;1.37541705;103.851722719772
ANDERSON PRIMARY SCHOOL;1.37631785;103.835561946494
ANCHOR GREEN PRIMARY SCHOOL;1.3903798;103.887353793371
ALEXANDRA PRIMARY SCHOOL;-37.1923733;145.712541754179
AI TONG SCHOOL;1.36071255;103.833017537958
AHMAD IBRAHIM SECONDARY SCHOOL;1.4360948;103.830054856667
AHMAD IBRAHIM PRIMARY SCHOOL;1.4338487;103.832709776836
ADMIRALTY SECONDARY SCHOOL;1.44591185;103.802908054132
ADMIRALTY PRIMARY SCHOOL;1.4429414;103.800345067448
